Role,Remote Work Hours,Collaboration Score
Data Scientist,8.749080237694725,19.628731077746707
Data Scientist,9.901428612819831,21.354346199940863
Data Scientist,9.46398788362281,21.065616932048872
Data Scientist,9.197316968394073,17.413280564886808
Data Scientist,8.312037280884873,18.29456673001348
Data Scientist,8.311989040672405,19.15964693861243
Data Scientist,8.1161672243364,20.449175515785072
Data Scientist,9.732352291549871,20.687299255689272
Data Scientist,9.202230023486418,19.191719642633053
Data Scientist,9.41614515559209,20.079654745807375
Data Scientist,8.041168988591604,19.45544115373632
Data Scientist,9.93981970432399,22.372766073137505
Data Scientist,9.664885281600844,20.53513025755113
Data Scientist,8.424678221356553,19.61925759238314
Data Scientist,8.363649934414202,18.872916192850465
Data Scientist,8.366809019706867,20.18658552521307
Data Scientist,8.608484485919075,18.16388933102212
Data Scientist,9.049512863264475,19.607532506632296
Data Scientist,8.863890037284232,19.139617844870227
Data Scientist,8.582458280396084,16.969644138593992
Data Scientist,9.22370578944476,20.891591994486383
Data Scientist,8.278987721304084,18.949558350878
Data Scientist,8.584289297070436,19.17624877910456
Data Scientist,8.732723686587384,19.113566673112047
Data Scientist,8.912139968434072,17.701223823792525
Data Scientist,9.570351922786028,20.509735861424016
Data Scientist,8.39934756431672,18.284623353843287
Data Scientist,9.028468876827223,18.853521849822016
Data Scientist,9.184829137724085,20.127729707949158
Data Scientist,8.092900825439996,18.7918779361018
Data Scientist,9.215089703802876,23.25945825942155
Data Scientist,8.341048247374584,18.943963213996927
Data Scientist,8.130103185970558,18.646531958025264
Data Scientist,9.897771074506666,21.683873275364082
Data Scientist,9.931264066149119,18.984371309349676
Data Scientist,9.616794696232922,21.19381857929202
Data Scientist,8.609227538346742,19.308800391605025
Data Scientist,8.195344228012768,22.085551624753464
Data Scientist,9.368466053024314,20.448390658876942
Data Scientist,8.880304987479203,20.212930988458826
Data Scientist,8.244076469689558,18.43608528482125
Data Scientist,8.990353820222541,18.227690584015786
Data Scientist,8.068777042230437,19.851788306233406
Data Scientist,9.818640804157564,22.76518115734529
Data Scientist,8.517559963200034,20.22166784696464
Data Scientist,9.325044568707964,19.28600795522382
Data Scientist,8.623422152178822,21.351035770761793
Data Scientist,9.040136042355622,17.97749549052282
Data Scientist,9.09342055868656,21.067126758073528
Data Scientist,8.369708911051054,22.025101260817078
Data Scientist,9.939169255529118,20.392534023362202
Data Scientist,9.550265646722229,20.2510846990403
Data Scientist,9.878997883128378,21.907472813888216
Data Scientist,9.789654700855298,20.824095920536298
Data Scientist,9.195799957622171,18.065604768645144
Data Scientist,9.843748470046233,21.790341402301507
Data Scientist,8.17698500410384,16.76051443761852
Data Scientist,8.39196572483829,19.49432009562935
Data Scientist,8.090454577821076,16.801772804291446
Data Scientist,8.650660661526528,21.626222930579367
Data Scientist,8.777354579378963,18.379829220253573
Data Scientist,8.542698063547792,18.60230385278707
Data Scientist,9.65747501830386,22.535225862662223
Data Scientist,8.713506653387178,17.58071683212342
Data Scientist,8.561869019374761,19.464927940655716
Data Scientist,9.085392166316497,22.131498464056637
Data Scientist,8.281848449949525,16.15247204805721
Data Scientist,9.60439396150808,21.485738710814616
Data Scientist,8.149101287359542,18.68802676609172
Data Scientist,9.973773873201035,23.120282054068035
Data Scientist,9.544489538593314,19.233553010869507
Data Scientist,8.397431363068344,16.814177806510273
Data Scientist,8.011044234247205,18.805000816919755
Data Scientist,9.630922856909669,21.707322723669115
Data Scientist,9.413714687695235,21.203168650909284
Data Scientist,9.458014336081975,21.435700986409415
Data Scientist,9.542540693371892,20.06504430437605
Data Scientist,8.148089303468181,18.644559152677868
Data Scientist,8.716931457088545,19.873471624125113
Data Scientist,8.23173811905026,17.391949111060967
Data Scientist,9.726206851751186,24.251075470219508
Data Scientist,9.246596253655117,21.203941888677914
Data Scientist,8.661796049705298,17.536636853606623
Data Scientist,8.127116700572047,19.23906381409484
Data Scientist,8.621964643431324,17.781906781521666
Data Scientist,8.650366644053495,20.48136019372067
Data Scientist,9.459212356676128,22.65631808186336
Data Scientist,9.275114942710426,19.319206407893287
Data Scientist,9.774425485152653,22.99391516417179
Data Scientist,8.944429850323898,20.508031091052544
Data Scientist,8.239188491876604,19.711467223744943
Data Scientist,9.42648957444599,23.6981686228729
Data Scientist,9.521570097233795,20.675058020463283
Data Scientist,9.122554395138993,19.114504543741752
Data Scientist,9.541934359909122,19.74959707537996
Data Scientist,8.987591192728782,18.751466958009406
Data Scientist,9.045465658763987,19.97527875340682
Data Scientist,8.8550820367171,20.221892035659167
Data Scientist,8.050838253488191,18.51671270597141
Data Scientist,8.215782853986608,19.67234058152725
Project Manager,8.589622607083296,25.079611937946527
Project Manager,8.005274186210384,20.949044173992597
Project Manager,8.153807769252719,22.97334468072478
Project Manager,7.985035387637728,23.13202185541946
Project Manager,7.390485975596089,19.390576243825056
Project Manager,8.444904230523012,22.800520426953323
Project Manager,7.561544724881712,16.261188439659815
Project Manager,7.048631932862907,18.56068240372438
Project Manager,8.290944591814336,22.20303695653893
Project Manager,7.354221358814097,18.836767944680922
Project Manager,8.880917168705828,26.21045129330911
Project Manager,8.907857154005175,21.6705022410694
Project Manager,8.829728780440897,22.99939083083632
Project Manager,7.740317400510889,21.676745666950914
Project Manager,7.030913233057735,22.223736399714642
Project Manager,8.856637125175451,21.559481023581743
Project Manager,7.856368296634629,23.457482221501696
Project Manager,8.933309638087339,23.881968867704057
Project Manager,8.927239954178505,22.382216931785084
Project Manager,8.70601891093472,24.105193033264346
Project Manager,7.588897784139172,21.476385111638546
Project Manager,7.770195457203851,20.64006559866951
Project Manager,8.702273343033713,23.509249813552454
Project Manager,7.633844010312555,20.689717625332467
Project Manager,7.338985493372185,20.848247004621243
Project Manager,8.1136025249167,23.22040106161497
Project Manager,8.872309548321562,26.123644320861153
Project Manager,8.392059593349947,20.927395938459618
Project Manager,8.14012234017873,25.47979474234186
Project Manager,7.194352987541537,17.46057427579932
Project Manager,8.23001445339834,22.232351264243306
Project Manager,8.980107700208526,24.84269121014392
Project Manager,7.280168030473048,20.981823862548644
Project Manager,8.036659304727474,21.13926932972406
Project Manager,8.754746143855911,23.19730891217591
Project Manager,8.481537235508409,22.223573069028568
Project Manager,8.394031481990536,21.904015828564756
Project Manager,8.404968167974218,24.084339481479972
Project Manager,7.71898230243951,21.973487833826592
Project Manager,7.587183688528986,20.13500298416699
Project Manager,8.618722310957027,24.58684443506393
Project Manager,8.620226789358362,23.70140286003164
Project Manager,8.734144637160208,24.687582452578855
Project Manager,8.826481105112943,24.597405473111305
Project Manager,8.022684797721876,20.801877079060645
Project Manager,8.0030325893744,21.165793618453343
Project Manager,8.59659035793355,24.314121123551992
Project Manager,8.299927861555531,23.51541112126126
Project Manager,8.403933754515407,22.776515118084593
Project Manager,8.591585338872202,23.359161752707575
Project Manager,8.780010683635133,25.476518710952902
Project Manager,7.675990313703071,20.464623544152396
Project Manager,7.751165905279888,22.32297788231483
Project Manager,7.187963879681738,20.072638780712637
Project Manager,8.156560281992348,21.986598759143867
Project Manager,7.071884547593484,21.791934373167752
Project Manager,7.93119603626492,23.100516596011886
Project Manager,8.085289269415153,23.390842992831264
Project Manager,7.573082504256568,23.10438321924463
Project Manager,8.181666521138022,22.394838804725183
